"id","NAME","POS","TEAM","ADP","OVERALL","POSITION"
"8abc1bed-0838-40ba-8959-45444bf778a5","RJ Harvey","RB","DEN","87.8","95","RB34"
"9b619115-cbc1-481f-869a-afb01b859710","Jaxson Dart","QB","NYG","104.2","96","QB12"
"a732f00b-cb01-4c0d-8b64-6d8b605bf45f","Brock Purdy","QB","SF","102.9","97","QB13"
"11fab77a-8096-44ac-a426-6b8c9fddc723","Kyle Pitts","TE","ATL","101.9","98","TE7"
"4aed4cc8-9362-4dd7-a829-1b2d891c445a","Alec Pierce","WR","IND","95.6","99","WR45"
"897642f1-74d8-4cf7-8a33-7fbcbd48d248","Bo Nix","QB","DEN","106.2","100","QB14"
"f2a26eb3-26f1-4b6a-ae58-42c5ea9341e8","J.K. Dobbins","RB","DEN","96.0","101","RB35"
"d83ad27b-1a9b-49ac-984e-49453f424c9f","Kenny Gainwell","RB","TB","109.0","102","RB36"
"dd0faf01-71b1-4348-8299-d0de3d50c0da","George Kittle","TE","SF","111.6","103","TE8"
"77e88416-ec46-49cf-9997-ee83acddb499","Harold Fannin Jr.","TE","CLV","105.1","104","TE9"
"7d59fc1e-990c-4002-994f-3c5e32b058ca","Jordyn Tyson","WR","NO","93.7","105","WR46"
"d18a8c9c-dc6a-4ed2-af27-a631c40f0cb2","Jacory Croskey-Merritt","RB","WAS","100.0","106","RB37"
"be568056-c66d-40fb-8c19-3185c357ced5","Matthew Stafford","QB","LA","110.7","107","QB15"
"0ceab1e0-16a3-42ce-9607-b5bdaf4697b2","Jakobi Meyers","WR","JAX","120.5","108","WR47"
"a7519d55-5b58-4b16-a1ca-dce4c21ab284","Kyle Monangai","RB","CHI","108.0","109","RB38"
"3eabec6e-44d1-4e00-b975-7981b019494e","Matthew Golden","WR","GB","100.1","110","WR48"
"2c318b1c-13a5-4722-a649-8d9c35a8f50e","Kyler Murray","QB","MIN","115.0","111","QB16"
"0b41b52c-c6f3-43bd-a655-35023705d92e","KC Concepcion","WR","CLV","110.8","112","WR49"
"1a21a150-0d38-4c37-a228-a81f61b16211","Jared Goff","QB","DET","111.7","113","QB17"
"28528dbe-2b54-4e90-8daf-b40ff16f4fcb","Romeo Doubs","WR","NE","117.2","114","WR50"
"609c7ac6-7a6a-49e2-bc37-6ad755dc8513","Xavier Worthy","WR","KC","107.3","115","WR51"
"1440721b-3ca6-406c-b87a-88e4ad494da5","Jordan Love","QB","GB","116.8","116","QB18"
"48fe455e-166b-42f0-8c77-9b6a9d03d251","Wan'Dale Robinson","WR","TEN","113.8","117","WR52"
"eb7d78fd-a58f-49f4-a5c6-6e75cf6903c0","Aaron Jones","RB","MIN","128.2","118","RB39"
"b1f2f8ae-4b05-4a35-b9fb-6f5a6853e2eb","Rachaad White","RB","WAS","117.7","119","RB40"
"a8f22078-bf09-44cc-882f-b151b0f5d18d","Tyler Shough","QB","NO","126.7","120","QB19"
"2a053c32-61bf-40b3-95b7-3ab291a52d72","Baker Mayfield","QB","TB","123.0","121","QB20"
"d2297be4-c288-4bc4-aad9-fd8e02646776","Malik Willis","QB","MIA","134.0","122","QB21"
"e2ea9022-a228-40b1-b668-5ac1fbe7e174","Travis Kelce","TE","KC","123.6","123","TE10"
"9e29ed5f-9125-4b00-8da2-5d01f868aa5f","Dallas Goedert","TE","PHI","132.8","124","TE11"
"db550ba6-f791-445d-a02c-65d4b8967c52","Mark Andrews","TE","BLT","133.6","125","TE12"
"58a9eb5e-0e5a-43e0-8a84-f29aaab96c0e","Dalton Kincaid","TE","BUF","120.4","126","TE13"
"77b3cf07-cf9b-4068-832f-4f787e7e7259","De'Zhaun Stribling","WR","SF","110.4","127","WR53"
"7d7766b7-6c5c-4a3f-9d89-adda8940df3d","Deebo Samuel Sr.","WR","SF","127.7","128","WR54"
"9077a1e5-ae83-43f2-ad88-8e44df2d6f4d","Jake Ferguson","TE","DAL","135.7","129","TE14"
"d4cb3ff5-5305-4c85-a51d-fe7136b0d10f","Isaiah Likely","TE","NYG","126.6","130","TE15"
"03132f54-3982-4620-8495-c8fb6ec423f8","Jalen Coker","WR","CAR","129.6","131","WR55"
